iter	Passed	Remaining
0	162	32388
1	176	17506
2	185	12208
3	190	9319
4	194	7577
5	197	6394
6	201	5543
7	205	4922
8	210	4457
9	213	4054
10	216	3724
11	219	3443
12	222	3206
13	225	3002
14	229	2827
15	233	2680
16	236	2541
17	239	2423
18	242	2311
19	245	2207
20	248	2121
21	251	2038
22	254	1961
23	257	1890
24	260	1823
25	263	1763
26	266	1706
27	269	1655
28	272	1607
29	275	1560
30	278	1520
31	282	1483
32	285	1443
33	288	1406
34	290	1371
35	294	1342
36	297	1310
37	300	1280
38	303	1253
39	306	1225
40	310	1203
41	313	1177
42	315	1152
43	318	1130
44	321	1107
45	325	1090
46	328	1069
47	331	1050
48	334	1030
49	337	1011
50	341	996
51	344	981
52	347	964
53	351	949
54	354	935
55	358	921
56	361	905
57	363	890
58	366	875
59	370	864
60	373	850
61	376	837
62	379	825
63	382	812
64	387	804
65	392	796
66	395	784
67	397	772
68	403	766
69	407	756
70	410	745
71	413	734
72	416	723
73	419	714
74	422	704
75	425	693
76	428	683
77	431	674
78	435	666
79	438	657
80	441	648
81	444	639
82	447	631
83	451	622
84	454	614
85	457	606
86	460	598
87	463	589
88	466	582
89	469	573
90	473	566
91	476	558
92	479	551
93	482	544
94	485	536
95	489	529
96	492	522
97	494	515
98	498	509
99	502	502
100	505	495
101	509	489
102	511	482
103	515	475
104	518	469
105	521	462
106	524	455
107	527	449
108	530	443
109	534	437
110	537	430
111	539	424
112	543	418
113	546	411
114	548	405
115	551	399
116	554	393
117	557	387
118	561	381
119	563	375
120	566	369
121	570	364
122	572	358
123	576	353
124	580	348
125	583	342
126	586	337
127	589	331
128	593	326
129	595	320
130	598	315
131	602	310
132	605	304
133	608	299
134	612	294
135	615	289
136	618	284
137	621	279
138	624	274
139	627	268
140	631	264
141	634	258
142	636	253
143	639	248
144	643	243
145	646	239
146	648	233
147	652	229
148	655	224
149	658	219
150	661	214
151	665	210
152	668	205
153	671	200
154	674	195
155	676	190
156	680	186
157	683	181
158	686	177
159	689	172
160	692	167
161	696	163
162	700	158
163	703	154
164	706	149
165	710	145
166	713	141
167	717	136
168	720	132
169	723	127
170	726	123
171	729	118
172	732	114
173	735	109
174	738	105
175	741	101
176	744	96
177	747	92
178	750	88
179	753	83
180	757	79
181	760	75
182	764	71
183	767	66
184	771	62
185	774	58
186	778	54
187	781	49
188	784	45
189	787	41
190	790	37
191	793	33
192	797	28
193	799	24
194	803	20
195	806	16
196	809	12
197	812	8
198	815	4
199	817	0
