ativo,contexto,hora,lucro,mult_vies,padrao,regime,retcode,ticket,timestamp,tipo,volume,volume_base
EURUSD,"{'sessao': 'asia', 'volatilidade': 'baixa', 'volume_atipico': False, 'squeeze': True, 'bb_bandwidth': 0.0005992423323085207, 'std20': 0.00017560347116547356, 'std_ref_median': 0.0013145864129770761, 'regime': 'lateral'}",21:45:10,0,,,lateral,10009,293841330,2025-08-25 00:45:00,compra,0.2,
GBPUSD,"{'sessao': 'asia', 'volatilidade': 'baixa', 'volume_atipico': False, 'squeeze': True, 'bb_bandwidth': 0.0011558835812020172, 'std20': 0.0003904285766405007, 'std_ref_median': 0.0014069406418725464, 'regime': 'lateral'}",21:45:18,0,,,lateral,10009,293841405,2025-08-25 00:45:00,compra,0.2,
EURUSD,"{'sessao': 'asia', 'volatilidade': 'baixa', 'volume_atipico': False, 'squeeze': True, 'bb_bandwidth': 0.0005980316034746164, 'std20': 0.00017524419092415115, 'std_ref_median': 0.0013145864129780703, 'regime': 'lateral'}",21:50:47,0,,,lateral,10009,293843468,2025-08-25 00:50:00,compra,0.2,
GBPUSD,"{'sessao': 'asia', 'volatilidade': 'baixa', 'volume_atipico': False, 'squeeze': True, 'bb_bandwidth': 0.00125345353285159, 'std20': 0.000423447939735539, 'std_ref_median': 0.001406940641873547, 'regime': 'lateral'}",21:51:32,0,,,lateral,10009,293843652,2025-08-25 00:50:00,compra,0.2,
EURUSD,"{'sessao': 'asia', 'volatilidade': 'baixa', 'volume_atipico': True, 'squeeze': True, 'bb_bandwidth': 0.0012369104977660412, 'std20': 0.00036180250514909393, 'std_ref_median': 0.001314586412978244, 'regime': 'lateral'}",00:05:11,0,,interpretacao,lateral,10009,293887413,2025-08-25 03:05:00,compra,0.2,
GBPUSD,"{'sessao': 'asia', 'volatilidade': 'baixa', 'volume_atipico': True, 'squeeze': True, 'bb_bandwidth': 0.0011901411936004846, 'std20': 0.0004017262091938564, 'std_ref_median': 0.0014069406418819796, 'regime': 'lateral'}",00:05:19,0,,interpretacao,lateral,10009,293887483,2025-08-25 03:05:00,compra,0.2,
EURUSD,"{'sessao': 'asia', 'volatilidade': 'baixa', 'volume_atipico': True, 'squeeze': True, 'bb_bandwidth': 0.0013276556078925038, 'std20': 0.0003884056480889159, 'std_ref_median': 0.0013145864129774842, 'regime': 'lateral'}",00:10:07,0,,interpretacao,lateral,10009,293889238,2025-08-25 03:10:00,compra,0.2,
GBPUSD,"{'sessao': 'asia', 'volatilidade': 'baixa', 'volume_atipico': True, 'squeeze': True, 'bb_bandwidth': 0.0012878482613411125, 'std20': 0.000434722839477598, 'std_ref_median': 0.0014069406418822925, 'regime': 'lateral'}",00:10:15,0,,interpretacao,lateral,10009,293889286,2025-08-25 03:10:00,compra,0.2,
EURUSD,"{'sessao': 'asia', 'volatilidade': 'baixa', 'volume_atipico': False, 'squeeze': True, 'bb_bandwidth': 0.001502397846335637, 'std20': 0.00043940629811778885, 'std_ref_median': 0.0013145864129778574, 'regime': 'lateral'}",00:15:07,0,,interpretacao,lateral,10009,293890774,2025-08-25 03:15:00,compra,0.2,
GBPUSD,"{'sessao': 'asia', 'volatilidade': 'baixa', 'volume_atipico': True, 'squeeze': True, 'bb_bandwidth': 0.0014063060305944057, 'std20': 0.0004746353168558144, 'std_ref_median': 0.0014069406418826455, 'regime': 'lateral'}",00:15:15,0,,interpretacao,lateral,10009,293890829,2025-08-25 03:15:00,compra,0.2,
