datahora,ativo,sinal_robo,preco_entrada,padrao,confianca,motivo,sinal_ideal_n1,resultado,lucro_pips_n1,pendente
2025-08-15 18:10:00,EURUSD,0,1.17046,RandomForest:0|XGBoost:-1|LSTM:0,0.53,random_forest:0|Conf:0.55|ConfEff:0.33|xgboost:-1|Conf:0.67|ConfEff:0.67|lstm:0|Conf:0.38|ConfEff:0.23|mp=-0.545; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 18:10:00,GBPUSD,0,1.35603,RandomForest:0|XGBoost:0|LSTM:1,0.75,random_forest:0|Conf:0.67|ConfEff:0.40|xgboost:0|Conf:1.00|ConfEff:0.42|lstm:1|Conf:0.57|ConfEff:0.57|mp=0.411; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 18:15:00,EURUSD,-1,1.17085,RandomForest:0|XGBoost:-1|LSTM:1,0.53,random_forest:0|Conf:0.59|ConfEff:0.35|xgboost:-1|Conf:0.58|ConfEff:0.58|lstm:1|Conf:0.42|ConfEff:0.42|mp=-0.117; Score_Reforco=0.0,0,errou,-1.6,False
2025-08-15 18:15:00,GBPUSD,0,1.35657,RandomForest:0|XGBoost:0|LSTM:0,0.73,random_forest:0|Conf:0.70|ConfEff:0.42|xgboost:0|Conf:0.98|ConfEff:0.42|lstm:0|Conf:0.51|ConfEff:0.30|mp=0.000; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 18:20:00,EURUSD,0,1.17101,RandomForest:0|XGBoost:0|LSTM:0,0.53,random_forest:0|Conf:0.58|ConfEff:0.35|xgboost:0|Conf:0.57|ConfEff:0.34|lstm:0|Conf:0.45|ConfEff:0.27|mp=0.000; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 18:20:00,GBPUSD,0,1.35664,RandomForest:0|XGBoost:0|LSTM:0,0.65,random_forest:0|Conf:0.57|ConfEff:0.34|xgboost:0|Conf:0.81|ConfEff:0.42|lstm:0|Conf:0.58|ConfEff:0.35|mp=0.000; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 18:25:00,EURUSD,0,1.17117,RandomForest:0|XGBoost:0|LSTM:1,0.62,random_forest:0|Conf:0.62|ConfEff:0.37|xgboost:0|Conf:0.74|ConfEff:0.42|lstm:1|Conf:0.51|ConfEff:0.51|mp=0.391; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 18:25:00,GBPUSD,0,1.35677,RandomForest:0|XGBoost:0|LSTM:0,0.65,random_forest:0|Conf:0.62|ConfEff:0.37|xgboost:0|Conf:0.78|ConfEff:0.42|lstm:0|Conf:0.56|ConfEff:0.33|mp=0.000; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 18:30:00,EURUSD,0,1.17118,RandomForest:0|XGBoost:0|LSTM:1,0.58,random_forest:0|Conf:0.58|ConfEff:0.35|xgboost:0|Conf:0.66|ConfEff:0.39|lstm:1|Conf:0.51|ConfEff:0.51|mp=0.408; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 18:30:00,GBPUSD,0,1.35682,RandomForest:0|XGBoost:0|LSTM:0,0.67,random_forest:0|Conf:0.61|ConfEff:0.37|xgboost:0|Conf:0.80|ConfEff:0.42|lstm:0|Conf:0.60|ConfEff:0.36|mp=0.000; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 18:35:00,EURUSD,0,1.171,RandomForest:0|XGBoost:-1|LSTM:0,0.6,random_forest:0|Conf:0.57|ConfEff:0.34|xgboost:-1|Conf:0.75|ConfEff:0.75|lstm:0|Conf:0.47|ConfEff:0.28|mp=-0.544; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 18:35:00,GBPUSD,0,1.35638,RandomForest:0|XGBoost:0|LSTM:0,0.66,random_forest:0|Conf:0.66|ConfEff:0.40|xgboost:0|Conf:0.84|ConfEff:0.42|lstm:0|Conf:0.48|ConfEff:0.29|mp=0.000; Score_Reforco=0.0,0,neutro,0.0,False
2025-08-15 18:40:00,EURUSD,-1,1.17084,RandomForest:0|XGBoost:-1|LSTM:1,0.55,random_forest:0|Conf:0.52|ConfEff:0.31|xgboost:-1|Conf:0.60|ConfEff:0.60|lstm:1|Conf:0.51|ConfEff:0.51|mp=-0.064; Score_Reforco=0.0,0,errou,-0.5,False
